step,applied,reason,block,discriminator_loss,discriminator_applied,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,spectral_loss,adversarial_loss,grad_norm,learning_rate
1,True,,,,,5.4327269026543945e-05,0.0,3.5837991163134575e-05,0.0001260032586287707,0.0,0.0,0.0,0.0,2.4729456526983995e-06,0.0005
2,True,,,,,9.60013312578667e-06,0.0,2.6636348593456205e-06,1.492740284447791e-05,0.0,0.0,0.0,0.0,4.0481899077349226e-07,0.001
3,True,,,,,2.813382479871507e-06,0.0,9.304956165578915e-07,4.674373485613614e-06,0.0,0.0,0.0,0.0,2.851206204468326e-07,0.0015
4,True,,,,,3.972371814597864e-06,0.0,1.1679201179504162e-06,6.308212050498696e-06,0.0,0.0,0.0,0.0,2.679644808267767e-07,0.002
5,True,,,,,9.28687040868681e-06,0.0,3.70397356164176e-06,1.669481753197033e-05,0.0,0.0,0.0,0.0,3.7824182186341204e-07,0.0025
6,True,,,,,9.243105523637496e-06,0.0,7.236155852297088e-06,2.371541631873697e-05,0.0,0.0,0.0,0.0,9.060013326234184e-07,0.003
7,True,,,,,9.62120702752145e-06,0.0,3.7590186821034877e-06,1.7139243936981075e-05,0.0,0.0,0.0,0.0,4.0084128727357893e-07,0.0035000000000000005
8,True,,,,,9.94386755337473e-06,0.0,4.500697286857758e-06,1.8945262127090245e-05,0.0,0.0,0.0,0.0,5.625718699775462e-07,0.004
9,True,,,,,1.048522608471103e-05,0.0,4.754517249239143e-06,1.9994260583189316e-05,0.0,0.0,0.0,0.0,5.7588147228671e-07,0.0045
10,True,,,,,2.697996706046979e-06,0.0,6.260218015086139e-07,3.950040081690531e-06,0.0,0.0,0.0,0.0,1.9921584737403464e-07,0.005
11,True,,,,,3.2503648981219158e-06,0.0,1.6404808320658049e-06,6.5313265622535255e-06,0.0,0.0,0.0,0.0,2.744891105521674e-07,0.0055
12,True,,,,,5.59583986614598e-06,0.0,1.8881941059589735e-06,9.372228305437602e-06,0.0,0.0,0.0,0.0,2.8947542318746855e-07,0.006
13,True,,,,,6.313079211395234e-05,0.0,3.972160629928112e-05,0.00014257400471251458,0.0,0.0,0.0,0.0,2.5019269287440693e-06,0.006500000000000001
14,True,,,,,7.579223165521398e-06,0.0,3.895284862664994e-06,1.5369792890851386e-05,0.0,0.0,0.0,0.0,4.952763674737071e-07,0.007000000000000001
15,True,,,,,9.434136700292584e-06,0.0,3.876116352330428e-06,1.7186368495458737e-05,0.0,0.0,0.0,0.0,3.974309947807342e-07,0.0075
