method,role,comparison_group,threat_model,ssim,psnr,lpips,absolute_evasion,conditional_evasion,reference_valid,baseline_detected,original_quality_valid
seed_3407_preserve_0.5: reconstruction_w8_c1.0_final_test,endpoint_control,w8_c1.0_all_seed3407,marked_model_only,0.9997149705886841,56.84969711303711,0.00017997755378019065,0.010000000000000009,0.0,True,99,True
seed_3407_preserve_8: natural_residual_qat_w8_c1.0_test,candidate,w8_c1.0_all_seed3407,marked_model_plus_unpaired_natural_images,0.9812166094779968,38.49213790893555,0.014419632591307163,0.010000000000000009,0.0,True,99,True
seed_3407_preserve_0.5: natural_residual_w4_c1.0_test,candidate,w4_c1.0_all_seed3407,marked_model_plus_unpaired_natural_images,0.8202562928199768,29.39948081970215,0.043319352259859445,0.38,0.37373737373737376,True,99,True
seed_3407_preserve_0.5: natural_residual_qat_w4_c1.0_test,candidate,w4_c1.0_all_seed3407,marked_model_plus_unpaired_natural_images,0.8377979397773743,29.833942413330078,0.04050620844587684,0.19999999999999996,0.1919191919191919,True,99,True
seed_3407_preserve_2: natural_residual_w4_c1.0_test,candidate,w4_c1.0_all_seed3407,marked_model_plus_unpaired_natural_images,0.8204081058502197,29.47989273071289,0.043050025897100566,0.37,0.36363636363636365,True,99,True
seed_3407_preserve_2: natural_residual_qat_w4_c1.0_test,candidate,w4_c1.0_all_seed3407,marked_model_plus_unpaired_natural_images,0.8383704423904419,29.951087951660156,0.04013131320476532,0.16000000000000003,0.15151515151515152,True,99,True
seed_3407_preserve_8: natural_residual_w4_c1.0_test,candidate,w4_c1.0_all_seed3407,marked_model_plus_unpaired_natural_images,0.8232219219207764,29.619482040405273,0.041890682419762015,0.32999999999999996,0.32323232323232326,True,99,True
seed_3407_preserve_8: natural_residual_qat_w4_c1.0_test,candidate,w4_c1.0_all_seed3407,marked_model_plus_unpaired_natural_images,0.8409860730171204,30.10356903076172,0.03899330541491509,0.14,0.13131313131313133,True,99,True
seed_3407_preserve_0.5: natural_full_finetune_fp32_test,finetune_control,fp32_unrestricted_decoder_control_seed3407,marked_model_plus_unpaired_natural_images_unrestricted_finetune,0.8148026466369629,28.875009536743164,0.048891782369464634,0.94,0.9393939393939394,True,99,True
seed_3407_preserve_2: natural_full_finetune_fp32_test,finetune_control,fp32_unrestricted_decoder_control_seed3407,marked_model_plus_unpaired_natural_images_unrestricted_finetune,0.8131155967712402,28.894424438476562,0.04882435228675604,0.99,0.98989898989899,True,99,True
