method,role,comparison_group,threat_model,ssim,psnr,lpips,absolute_evasion,conditional_evasion,reference_valid,baseline_detected,original_quality_valid,min_ssim_view,aggregate_quality_valid,per_image_quality_violation_fraction,joint_quality_and_evasion_on_baseline_detected,interpretation
marked_reference_test,reference,,unspecified,1.0,120.0,0.0,0.010000000000000009,0.0,True,99,True,0.8,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
marked_reference_test,reference,,unspecified,1.0,120.0,0.0,0.010000000000000009,0.0,True,99,True,0.82,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
marked_reference_test,reference,,unspecified,1.0,120.0,0.0,0.010000000000000009,0.0,True,99,True,0.85,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
marked_reference_test,reference,,unspecified,1.0,120.0,0.0,0.010000000000000009,0.0,True,99,True,0.86,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
marked_reference_test,reference,,unspecified,1.0,120.0,0.0,0.010000000000000009,0.0,True,99,True,0.9,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
marked_reference_test,reference,,unspecified,1.0,120.0,0.0,0.010000000000000009,0.0,True,99,True,0.95,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
pseudo_target_test,diagnostic,,unspecified,0.9925714315192385,41.636995010375976,0.01303590188268572,0.010000000000000009,0.0,True,99,True,0.8,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
pseudo_target_test,diagnostic,,unspecified,0.9925714315192385,41.636995010375976,0.01303590188268572,0.010000000000000009,0.0,True,99,True,0.82,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
pseudo_target_test,diagnostic,,unspecified,0.9925714315192385,41.636995010375976,0.01303590188268572,0.010000000000000009,0.0,True,99,True,0.85,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
pseudo_target_test,diagnostic,,unspecified,0.9925714315192385,41.636995010375976,0.01303590188268572,0.010000000000000009,0.0,True,99,True,0.86,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
pseudo_target_test,diagnostic,,unspecified,0.9925714315192385,41.636995010375976,0.01303590188268572,0.010000000000000009,0.0,True,99,True,0.9,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
pseudo_target_test,diagnostic,,unspecified,0.9925714315192385,41.636995010375976,0.01303590188268572,0.010000000000000009,0.0,True,99,True,0.95,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
fixed_ptq_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_only,0.9997078776359558,56.706695556640625,0.00019757633192057255,0.010000000000000009,0.0,True,99,True,0.8,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
fixed_ptq_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_only,0.9997078776359558,56.706695556640625,0.00019757633192057255,0.010000000000000009,0.0,True,99,True,0.82,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
fixed_ptq_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_only,0.9997078776359558,56.706695556640625,0.00019757633192057255,0.010000000000000009,0.0,True,99,True,0.85,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
fixed_ptq_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_only,0.9997078776359558,56.706695556640625,0.00019757633192057255,0.010000000000000009,0.0,True,99,True,0.86,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
fixed_ptq_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_only,0.9997078776359558,56.706695556640625,0.00019757633192057255,0.010000000000000009,0.0,True,99,True,0.9,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
fixed_ptq_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_only,0.9997078776359558,56.706695556640625,0.00019757633192057255,0.010000000000000009,0.0,True,99,True,0.95,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
reconstruction_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_only,0.9997152090072632,56.9069709777832,0.00017951294241356664,0.010000000000000009,0.0,True,99,True,0.8,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
reconstruction_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_only,0.9997152090072632,56.9069709777832,0.00017951294241356664,0.010000000000000009,0.0,True,99,True,0.82,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
reconstruction_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_only,0.9997152090072632,56.9069709777832,0.00017951294241356664,0.010000000000000009,0.0,True,99,True,0.85,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
reconstruction_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_only,0.9997152090072632,56.9069709777832,0.00017951294241356664,0.010000000000000009,0.0,True,99,True,0.86,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
reconstruction_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_only,0.9997152090072632,56.9069709777832,0.00017951294241356664,0.010000000000000009,0.0,True,99,True,0.9,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
reconstruction_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_only,0.9997152090072632,56.9069709777832,0.00017951294241356664,0.010000000000000009,0.0,True,99,True,0.95,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
natural_residual_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_plus_unpaired_natural_images,0.9790229797363281,37.7523307800293,0.015300912000238896,0.010000000000000009,0.0,True,99,True,0.8,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
natural_residual_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_plus_unpaired_natural_images,0.9790229797363281,37.7523307800293,0.015300912000238896,0.010000000000000009,0.0,True,99,True,0.82,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
natural_residual_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_plus_unpaired_natural_images,0.9790229797363281,37.7523307800293,0.015300912000238896,0.010000000000000009,0.0,True,99,True,0.85,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
natural_residual_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_plus_unpaired_natural_images,0.9790229797363281,37.7523307800293,0.015300912000238896,0.010000000000000009,0.0,True,99,True,0.86,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
natural_residual_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_plus_unpaired_natural_images,0.9790229797363281,37.7523307800293,0.015300912000238896,0.010000000000000009,0.0,True,99,True,0.9,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
natural_residual_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_plus_unpaired_natural_images,0.9790229797363281,37.7523307800293,0.015300912000238896,0.010000000000000009,0.0,True,99,True,0.95,True,0.01,0.0,posthoc view; does not retrain or change frozen checkpoint
natural_residual_qat_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_plus_unpaired_natural_images,0.980519711971283,38.08076477050781,0.014729543009307235,0.010000000000000009,0.0,True,99,True,0.8,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
natural_residual_qat_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_plus_unpaired_natural_images,0.980519711971283,38.08076477050781,0.014729543009307235,0.010000000000000009,0.0,True,99,True,0.82,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
natural_residual_qat_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_plus_unpaired_natural_images,0.980519711971283,38.08076477050781,0.014729543009307235,0.010000000000000009,0.0,True,99,True,0.85,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
natural_residual_qat_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_plus_unpaired_natural_images,0.980519711971283,38.08076477050781,0.014729543009307235,0.010000000000000009,0.0,True,99,True,0.86,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
natural_residual_qat_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_plus_unpaired_natural_images,0.980519711971283,38.08076477050781,0.014729543009307235,0.010000000000000009,0.0,True,99,True,0.9,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
natural_residual_qat_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_plus_unpaired_natural_images,0.980519711971283,38.08076477050781,0.014729543009307235,0.010000000000000009,0.0,True,99,True,0.95,True,0.01,0.0,posthoc view; does not retrain or change frozen checkpoint
fixed_ptq_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_only,0.9395577311515808,33.00655746459961,0.02316638145595789,0.010000000000000009,0.0,True,99,True,0.8,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
fixed_ptq_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_only,0.9395577311515808,33.00655746459961,0.02316638145595789,0.010000000000000009,0.0,True,99,True,0.82,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
fixed_ptq_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_only,0.9395577311515808,33.00655746459961,0.02316638145595789,0.010000000000000009,0.0,True,99,True,0.85,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
fixed_ptq_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_only,0.9395577311515808,33.00655746459961,0.02316638145595789,0.010000000000000009,0.0,True,99,True,0.86,True,0.01,0.0,posthoc view; does not retrain or change frozen checkpoint
fixed_ptq_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_only,0.9395577311515808,33.00655746459961,0.02316638145595789,0.010000000000000009,0.0,True,99,True,0.9,True,0.07,0.0,posthoc view; does not retrain or change frozen checkpoint
