candidate,source,method,bits,clip,step,psnr,ssim,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,selection_objective
reconstruction_w8_c1.0_step0,rtn_fallback,reconstruction,8,1.0,0,57.088104248046875,0.9997347593307495,53.132572174072266,52.35205078125,0.0,2.307134968759783e-06,True,3.0215273412181886e-07,2.307134968759783e-06
reconstruction_w8_c1.0_step10,reconstruction,reconstruction,8,1.0,10,56.87482452392578,0.9997304081916809,52.946041107177734,52.326263427734375,0.0,2.3826019116768294e-06,True,3.666161184412431e-07,2.3826019116768294e-06
reconstruction_w8_c1.0_step20,reconstruction,reconstruction,8,1.0,20,57.06264114379883,0.9997345805168152,52.934940338134766,52.39990234375,0.0,2.3002652255854626e-06,True,2.98375391238892e-07,2.3002652255854626e-06
reconstruction_w8_c1.0_step30,reconstruction,reconstruction,8,1.0,30,57.19780731201172,0.9997364282608032,53.053157806396484,52.48894500732422,0.0,2.237925372128302e-06,True,2.576989786007289e-07,2.237925372128302e-06
reconstruction_w8_c1.0_step40,reconstruction,reconstruction,8,1.0,40,57.25109100341797,0.9997393488883972,53.04555892944336,52.5156364440918,0.0,2.2163200128488825e-06,True,2.3737303713744496e-07,2.2163200128488825e-06
reconstruction_w8_c1.0_step50,reconstruction,reconstruction,8,1.0,50,57.351768493652344,0.9997434616088867,53.1307258605957,52.58243942260742,0.0,2.1723582563026867e-06,True,2.145810597653508e-07,2.1723582563026867e-06
reconstruction_w8_c1.0_step60,reconstruction,reconstruction,8,1.0,60,57.02510452270508,0.9997336268424988,52.81394577026367,52.460853576660156,0.0,2.312293230488649e-06,True,3.144983928393685e-07,2.312293230488649e-06
reconstruction_w8_c1.0_step70,reconstruction,reconstruction,8,1.0,70,57.089996337890625,0.9997338056564331,52.84358215332031,52.49658203125,0.0,2.284928169160594e-06,True,2.968566825245489e-07,2.284928169160594e-06
reconstruction_w8_c1.0_step80,reconstruction,reconstruction,8,1.0,80,57.202537536621094,0.9997398257255554,53.05595779418945,52.5551643371582,0.0,2.225549329182286e-06,True,2.539931848843935e-07,2.225549329182286e-06
reconstruction_w8_c1.0_step90,reconstruction,reconstruction,8,1.0,90,56.85095977783203,0.9997276067733765,52.81022644042969,52.456058502197266,0.0,2.3826898342349524e-06,True,3.750638033039877e-07,2.3826898342349524e-06
reconstruction_w8_c1.0_step100,reconstruction,reconstruction,8,1.0,100,57.16804885864258,0.9997385144233704,53.080570220947266,52.57041931152344,0.0,2.2325618175500495e-06,True,2.6436696742848653e-07,2.2325618175500495e-06
